Table 2-3:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by Chapter/IPCC Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter/IPCC Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Energy,5324.9,5285.0,5387.0,5489.8,5580.6,5632.1,5819.0,5888.9,5928.0,5993.0,6165.1,6086.0,6114.0,6162.5,6268.6,6294.5,6211.2,6281.7,6110.0,5711.9,5884.6,5744.0,5533.9,5693.5,5746.2
,Fossil Fuel Combustion,4740.7,4690.3,4793.2,4915.3,4990.0,5041.2,5232.8,5297.1,5333.7,5401.3,5594.0,5525.2,5560.9,5620.0,5709.2,5747.1,5660.6,5751.2,5566.7,5193.5,5358.3,5227.7,5024.7,5157.6,5208.2
,Natural Gas Systems,244.5,246.8,245.4,247.8,248.9,244.5,241.0,238.2,225.0,222.8,219.6,221.0,214.5,211.5,208.6,207.4,209.5,207.7,211.9,203.7,198.6,205.7,207.8,214.0,218.5
,Non-Energy Use of Fuels,118.1,127.6,125.9,116.4,125.5,128.3,123.8,132.3,149.7,156.3,140.3,132.6,136.5,129.9,147.8,138.9,140.1,125.2,125.3,106.2,114.1,108.5,105.6,121.7,114.3
,Petroleum Systems,42.3,42.3,41.4,40.6,41.8,43.1,44.5,46.2,46.8,47.1,48.5,49.7,50.3,51.1,52.0,52.8,53.9,54.5,55.2,55.8,58.2,60.5,62.2,68.4,71.7
,Coal Mining,96.5,93.2,90.7,77.3,77.6,76.4,76.0,75.4,75.7,71.2,68.3,68.0,63.8,64.0,65.3,64.1,65.6,64.8,75.6,79.9,82.3,71.2,66.5,64.6,67.6
,Stationary Combustion,20.4,20.5,21.0,20.7,20.7,20.8,21.4,20.7,20.0,20.4,21.5,21.3,23.0,24.5,26.4,27.6,27.3,28.1,28.2,27.8,29.2,28.4,28.0,30.9,31.5
,Mobile Combustion,46.9,48.6,51.5,53.5,55.2,56.3,57.1,57.7,57.7,54.1,52.7,48.5,45.3,41.9,39.7,37.1,34.8,30.9,28.4,26.8,25.9,24.7,22.2,20.3,18.4
,Incineration of Waste,8.4,8.4,9.9,10.2,11.3,11.7,12.3,12.3,11.2,11.4,11.5,11.8,12.2,12.5,12.8,12.8,12.9,13.1,12.2,11.6,11.4,10.9,10.7,9.7,9.7
,Abandoned Underground Coal Mines,7.2,7.3,7.9,8.2,9.7,9.8,10.1,9.0,8.2,8.3,8.8,8.0,7.3,7.2,6.9,6.6,6.5,6.3,6.3,6.4,6.6,6.4,6.2,6.2,6.3
,Industrial Processes and Product Use,340.9,321.8,327.5,327.1,337.9,368.2,382.0,384.7,391.7,386.1,384.6,346.7,355.9,340.7,353.6,354.3,363.3,381.2,358.5,311.0,353.0,370.5,360.1,363.5,379.2
,Substitution of Ozone Depleting Substances,0.3,0.6,1.8,6.0,13.6,31.0,42.9,54.5,61.6,69.9,77.1,83.7,88.6,92.1,95.6,99.7,106.6,114.3,123.1,132.4,141.2,145.3,150.2,154.6,161.2
,Iron and Steel Production & Metallurgical Coke Production,99.7,90.5,91.2,87.1,90.0,93.5,91.7,93.0,86.8,84.7,86.2,76.0,72.3,69.1,68.5,66.6,69.3,71.2,66.7,43.0,55.7,59.9,54.2,52.2,55.4
,Cement Production,33.3,32.5,32.8,34.6,36.1,36.8,39.1,38.3,39.2,40.0,41.2,41.4,42.9,43.1,45.6,45.9,46.6,45.2,41.2,29.4,31.3,32.0,35.1,36.1,38.8
,Petrochemical Production,21.8,23.3,23.9,24.9,26.9,28.3,29.4,30.8,31.2,32.6,31.9,27.8,28.9,28.7,30.8,27.5,27.7,28.1,24.8,23.8,27.3,26.4,26.5,26.5,26.6
,Lime Production,11.7,11.5,11.9,12.3,12.7,13.5,14.2,14.5,14.8,14.4,14.3,13.7,13.2,13.9,14.6,14.6,15.2,14.7,14.5,11.4,13.4,14.0,13.7,14.0,14.1
,Other Process Uses of Carbonates,4.9,4.3,4.3,3.9,4.3,6.2,6.8,6.4,6.7,7.6,4.7,4.7,5.1,3.7,5.6,6.3,7.3,7.4,5.9,7.6,9.6,9.3,8.0,10.4,12.1
,Nitric Acid Production,12.1,12.1,12.4,12.6,13.3,13.5,14.1,14.4,14.2,13.7,13.3,10.8,11.7,11.0,10.9,11.3,11.1,13.2,11.3,9.6,11.5,10.9,10.5,10.7,10.9
,Ammonia Production,13.0,13.3,13.7,13.2,14.2,13.5,13.8,14.0,14.1,12.9,12.2,9.2,10.5,8.8,9.6,9.2,8.8,9.1,8.4,8.5,9.2,9.3,9.4,10.0,9.4
,Electrical Transmission and Distribution,25.4,24.3,24.2,23.5,22.1,20.4,18.7,17.1,14.5,14.9,14.0,13.7,12.7,11.9,11.2,10.6,9.3,8.2,8.1,7.3,7.0,6.8,5.6,5.4,5.6
,Adipic Acid Production,15.2,14.9,13.0,13.9,13.5,16.9,16.7,9.4,5.1,4.7,5.3,4.5,4.9,5.5,3.7,7.1,8.6,10.3,2.5,2.7,4.2,10.2,5.5,4.0,5.4
,Aluminum Production,28.3,25.1,23.5,22.2,19.6,19.4,20.4,18.6,16.2,16.1,16.0,8.4,10.6,8.9,7.5,7.6,6.7,8.7,7.6,4.9,4.6,6.8,6.4,6.2,5.4
,HCFC-22 Production,46.1,41.4,46.0,41.9,39.9,41.7,39.4,38.1,49.9,38.5,36.2,25.0,26.7,15.6,21.8,20.0,17.5,21.5,17.2,6.8,8.0,8.8,5.5,4.1,5.0
,Semiconductor Manufacture,3.6,3.6,3.6,4.5,4.9,6.2,6.9,7.3,9.0,9.1,7.7,5.4,5.6,5.3,5.0,4.7,5.2,4.8,4.4,3.1,4.0,5.1,4.5,4.2,4.7
,Carbon Dioxide Consumption,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1.0,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4.0,4.2,4.5
,N2O from Product Uses,4.2,4.1,3.9,4.4,4.4,4.4,4.4,4.7,4.7,4.7,4.7,4.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,Urea Consumption for Non-Agricultural Purposes,3.8,3.5,3.9,4.6,4.3,4.3,3.9,3.9,4.8,4.7,4.2,4.1,3.7,3.6,3.7,3.7,3.5,4.9,4.1,3.4,4.7,4.0,4.4,4.2,4.0
,Soda Ash Production and Consumption,2.8,2.8,2.8,2.7,2.7,3.0,3.0,3.1,3.0,2.9,2.9,2.9,2.8,2.8,2.9,3.0,2.9,2.9,3.0,2.6,2.7,2.7,2.8,2.8,2.8
,Ferroalloy Production,2.2,1.9,2.0,1.9,2.0,2.1,2.1,2.2,2.2,2.2,1.9,1.5,1.4,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,1.9
,Titanium Dioxide Production,1.2,1.2,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.7,1.8,1.7,1.8,1.8,2.1,1.8,1.8,1.9,1.8,1.6,1.8,1.7,1.5,1.7,1.8
,Glass Production,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.6,1.5,1.4,1.7,1.4,1.7,1.6,1.6,1.9,2.1,1.5,1.5,1.0,1.5,1.3,1.2,1.3,1.3
,Magnesium Production and Processing,5.2,4.9,5.2,5.3,5.2,5.4,6.3,6.0,5.4,4.8,2.9,2.7,2.8,3.3,2.7,2.7,2.8,2.5,1.8,1.6,2.1,2.8,1.7,1.5,1.2
,Phosphoric Acid Production,1.5,1.4,1.5,1.3,1.5,1.5,1.6,1.5,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1.1,1.0,1.1,1.2,1.1,1.1,1.1
,Zinc Production,0.6,0.8,0.8,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.7,0.7,1.1,1.0,1.0,1.0,1.0,1.2,0.9,1.2,1.3,1.5,1.4,1.0
,Lead Production,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Silicon Carbide Production and Consumption,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Agriculture,532.0,522.3,532.2,549.4,531.3,552.3,556.2,543.0,573.1,543.6,544.5,548.2,554.8,554.3,578.6,552.2,566.0,582.0,569.3,575.3,582.3,583.1,583.3,575.3,573.6
,Agricultural Soil Management,303.3,291.5,297.9,310.5,289.1,301.8,308.4,297.3,322.8,292.9,292.6,297.6,299.1,301.7,331.1,297.2,309.6,317.8,308.0,314.2,320.7,323.1,323.1,318.6,318.4
,Enteric Fermentation,164.2,164.4,169.2,171.6,174.7,178.7,177.5,174.1,172.3,172.4,170.6,169.6,169.8,170.0,166.8,168.9,171.6,174.5,173.8,173.0,171.3,168.9,166.7,165.5,164.3
,Manure Management,51.1,53.1,51.7,53.3,56.7,58.4,57.7,59.9,64.2,65.4,66.5,68.6,70.3,71.2,69.3,72.9,74.2,79.4,78.2,76.8,78.1,78.9,81.2,78.9,78.7
,Rice Cultivation,13.1,13.0,13.0,13.6,10.4,13.1,12.4,11.3,13.5,12.6,14.4,12.0,15.2,11.0,11.0,13.0,10.3,9.9,8.9,11.0,11.9,11.8,11.9,11.9,11.9
,Field Burning of Agricultural Residues,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Waste,199.3,201.8,202.0,200.2,200.4,195.9,192.6,183.4,174.0,167.8,164.8,159.9,160.7,167.5,169.1,177.8,175.6,177.2,178.6,178.0,165.5,167.8,165.7,167.8,171.4
,Landfills,179.6,181.7,181.4,179.2,179.0,174.2,170.6,161.1,151.4,144.7,141.4,136.8,137.4,144.0,145.4,154.0,151.7,153.1,154.5,154.5,142.1,144.4,142.3,144.3,148.0
,Wastewater Treatment,19.0,19.3,19.7,19.7,20.0,20.1,20.1,20.3,20.4,20.6,20.6,20.3,20.4,20.3,20.2,20.2,20.3,20.3,20.3,20.0,19.9,19.9,19.8,19.6,19.5
,Composting,0.7,0.8,0.9,1.2,1.5,1.6,1.9,2.1,2.3,2.5,2.8,2.8,2.9,3.3,3.5,3.5,3.6,3.7,3.8,3.6,3.5,3.5,3.7,3.9,3.9
,Total Emissionsa,6397.1,6330.9,6448.7,6566.4,6650.3,6748.5,6949.8,7000.0,7066.8,7090.4,7259.0,7140.9,7185.3,7225.0,7370.0,7378.8,7316.1,7422.2,7216.4,6776.2,6985.5,6865.4,6643.0,6800.0,6870.5
,"Land Use, Land-Use Change, and Forestry",-738.0,-739.3,-745.5,-729.2,-743.1,-702.4,-704.9,-697.5,-682.3,-685.7,-683.0,-682.4,-662.8,-677.4,-679.7,-698.5,-719.4,-691.1,-686.7,-733.6,-766.4,-762.0,-749.7,-759.6,-762.5
,Forest Land,-718.7,-724.0,-724.0,-727.1,-709.6,-706.8,-688.2,-686.7,-683.9,-679.1,-644.5,-652.2,-638.8,-661.9,-653.7,-675.8,-684.8,-661.8,-654.1,-700.5,-736.5,-725.6,-717.4,-726.8,-730.0
,Cropland,38.5,35.1,31.9,49.0,32.3,48.1,36.6,38.8,45.6,30.1,19.9,19.8,27.6,34.1,25.8,25.9,25.5,18.3,27.1,31.6,34.0,17.1,21.1,21.1,22.3
,Grassland,26.2,33.5,31.4,31.8,16.0,36.5,26.5,31.0,37.0,46.0,26.5,35.8,35.7,37.0,35.2,39.8,29.6,42.4,31.5,29.6,32.0,43.0,43.9,44.1,44.2
,Wetlands,1.1,1.0,0.9,1.0,0.9,1.1,0.9,1.1,1.1,1.2,1.3,1.2,1.0,1.0,1.2,1.1,0.9,1.0,1.0,1.0,1.0,0.9,0.8,0.8,0.8
,Settlements,-59.0,-60.5,-61.8,-63.0,-64.3,-65.9,-67.3,-68.7,-70.4,-71.8,-72.9,-73.8,-74.8,-75.9,-77.0,-78.2,-79.3,-80.3,-81.5,-82.8,-83.8,-84.8,-85.8,-87.1,-88.2
,Other,-26.0,-24.4,-23.9,-21.0,-18.6,-15.4,-13.4,-12.9,-11.7,-12.1,-13.3,-13.3,-13.5,-11.7,-11.2,-11.4,-11.3,-10.7,-10.7,-12.5,-13.2,-12.7,-12.2,-11.7,-11.6
,Net Emissions (Sources and Sinks)b,5659.2,5591.6,5703.1,5837.2,5907.2,6046.1,6245.0,6302.5,6384.5,6404.7,6576.0,6458.5,6522.5,6547.6,6690.3,6680.3,6596.7,6731.1,6529.7,6042.6,6219.0,6103.4,5893.3,6040.4,6108.0
,Notes: Total emissions presented without LULUCF. Net emissions presented with LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,
,a Total emissions without LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,
,b Net emissions with LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:  Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.  ,,,,,,,,,,,,,,,,,,,,,,,,,
