Table 4-80:  Approach 2 Quantitative Uncertainty Estimates for CO2 and PFC Emissions from Aluminum Production (MMT CO2 Eq. and Percent),,,,,,,
,,,,,,,
,Source,Gas,2014 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,,Lower,Upper,Lower,Upper
,,,,Bound,Bound,Bound,Bound
,Aluminum Production,CO2,2.8,2.8,2.9,-2%,2%
,Aluminum Production,CF4,1.9,1.8,2,-7%,7%
,Aluminum Production,C2F6,0.6,0.5,0.7,-13%,13%
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,
